"","no","year","valor","ent","opt","cons","cve_ent","indicador","ods","obj_ods","c_eje","eje","hex_ods","hex_eje","hex_dimension","hex_obj_est","proyec","sentido","c_dimension","dimension","c_obj_est","obj_est","dif_ab","u_med","unidad_de_medida"
"21",30,1990,43.92653,"Puebla",NA,NA,"21","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"22",30,1990,32.47784,"Querétaro",NA,NA,"22","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"23",30,1990,27.36332,"Quintana Roo",NA,NA,"23","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"24",30,1990,32.44983,"San Luis Potosí",NA,NA,"24","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"25",30,1990,24.38616,"Sinaloa",NA,NA,"25","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"26",30,1990,24.2868,"Sonora",NA,NA,"26","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"27",30,1990,30.98451,"Tabasco",NA,NA,"27","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"28",30,1990,26.92638,"Tamaulipas",NA,NA,"28","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"29",30,1990,41.84996,"Tlaxcala",NA,NA,"29","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"30",30,1990,35.66295,"Veracruz",NA,NA,"30","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"31",30,1990,25.10711,"Yucatán",NA,NA,"31","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"32",30,1990,32.65969,"Zacatecas",NA,NA,"32","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"33",30,1990,32.50794,"Nacional",NA,NA,"33","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"34",30,1991,27.4719,"Aguascalientes",NA,NA,"1","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"35",30,1991,26.10352,"Baja California",NA,NA,"2","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"36",30,1991,23.12396,"Baja California Sur",NA,NA,"3","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"37",30,1991,26.44496,"Campeche",NA,NA,"4","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"38",30,1991,23.77268,"Coahuila",NA,NA,"5","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"39",30,1991,24.96374,"Colima",NA,NA,"6","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"40",30,1991,43.62907,"Chiapas",NA,NA,"7","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"41",30,1991,26.69541,"Chihuahua",NA,NA,"8","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"42",30,1991,21.4698,"Ciudad de México",NA,NA,"9","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"43",30,1991,29.86543,"Durango",NA,NA,"10","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"44",30,1991,33.82984,"Guanajuato",NA,NA,"11","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"45",30,1991,40.06659,"Guerrero",NA,NA,"12","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"46",30,1991,34.28791,"Hidalgo",NA,NA,"13","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"47",30,1991,25.94633,"Jalisco",NA,NA,"14","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"48",30,1991,32.46771,"México",NA,NA,"15","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"49",30,1991,31.53197,"Michoacán",NA,NA,"16","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"50",30,1991,25.964,"Morelos",NA,NA,"17","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"51",30,1991,27.17052,"Nayarit",NA,NA,"18","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"52",30,1991,20.10226,"Nuevo León",NA,NA,"19","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"53",30,1991,41.91923,"Oaxaca",NA,NA,"20","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"54",30,1991,42.13664,"Puebla",NA,NA,"21","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"55",30,1991,30.98842,"Querétaro",NA,NA,"22","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"56",30,1991,26.21971,"Quintana Roo",NA,NA,"23","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"57",30,1991,31.03971,"San Luis Potosí",NA,NA,"24","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"58",30,1991,23.151,"Sinaloa",NA,NA,"25","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"59",30,1991,23.32858,"Sonora",NA,NA,"26","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"60",30,1991,29.4997,"Tabasco",NA,NA,"27","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"61",30,1991,25.795,"Tamaulipas",NA,NA,"28","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"62",30,1991,40.06593,"Tlaxcala",NA,NA,"29","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"63",30,1991,34.03708,"Veracruz",NA,NA,"30","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"64",30,1991,24.10904,"Yucatán",NA,NA,"31","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"65",30,1991,30.87012,"Zacatecas",NA,NA,"32","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"66",30,1991,31.10204,"Nacional",NA,NA,"33","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"67",30,1992,25.93509,"Aguascalientes",NA,NA,"1","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"68",30,1992,25.34255,"Baja California",NA,NA,"2","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"69",30,1992,22.1783,"Baja California Sur",NA,NA,"3","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"70",30,1992,25.20345,"Campeche",NA,NA,"4","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"71",30,1992,22.41424,"Coahuila",NA,NA,"5","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"72",30,1992,23.81317,"Colima",NA,NA,"6","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"73",30,1992,41.47716,"Chiapas",NA,NA,"7","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"74",30,1992,25.8417,"Chihuahua",NA,NA,"8","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
"75",30,1992,20.7081,"Ciudad de México",NA,NA,"9","Tasa de mortalidad infantil","3","Salud y bienestar",1,"Aguascalientes educado, integrado y equitativo","4C9F38","003B59","FFBE4F","209797",0,"0",1,"Derechos Sociales",3,"Salud y deporte",NA,"Defunciones de menores de 1 año por cada mil nacidos vivos.","Defunciones de menores de 1 año por cada mil nacidos vivos."
